               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05918,            0.038216,            0.006572,             0.44104,             0.70098,              0.7129,             0.51864,            0.015363,             0.01007,           0.0024539,            0.032999,           0.0059991,           0.0059991
                  37,             0.06118,            0.030912,            0.007535,             0.39758,             0.66667,             0.56071,             0.35571,              0.0229,            0.010025,           0.0023286,            0.031126,           0.0061264,           0.0061264
                  38,            0.048763,            0.025245,            0.006281,             0.26794,             0.83333,             0.41979,             0.29517,            0.018854,           0.0085743,           0.0031221,            0.029252,           0.0062516,           0.0062516
                  39,            0.058492,            0.024934,           0.0052612,             0.26794,             0.83333,             0.41979,             0.29517,            0.018854,           0.0085743,           0.0031221,            0.027375,           0.0063749,           0.0063749
                  40,            0.052971,            0.025036,           0.0063724,             0.29819,             0.83333,             0.42787,             0.25788,            0.019272,           0.0078996,           0.0030621,            0.025496,           0.0064962,           0.0064962
                  41,            0.050596,            0.028383,           0.0061653,             0.24326,                 0.5,             0.24199,              0.1503,            0.018739,           0.0077917,           0.0036623,            0.023616,           0.0066155,           0.0066155
                  42,            0.072053,            0.026039,            0.006602,             0.24326,                 0.5,             0.24199,              0.1503,            0.018739,           0.0077917,           0.0036623,            0.021733,           0.0067329,           0.0067329
                  43,             0.05413,            0.027301,           0.0059063,             0.47762,             0.33333,             0.47216,             0.19856,            0.020448,           0.0067983,           0.0035527,            0.019848,           0.0068482,           0.0068482
                  44,            0.036759,            0.025374,            0.005958,             0.47762,             0.33333,             0.47216,             0.19856,            0.020448,           0.0067983,           0.0035527,            0.017962,           0.0069616,           0.0069616
                  45,            0.076512,            0.027231,           0.0045728,              0.4639,             0.33333,             0.52776,             0.27898,            0.014206,           0.0067235,           0.0033684,            0.016073,            0.007073,            0.007073
                  46,            0.055038,            0.024046,           0.0051825,              0.4639,             0.33333,             0.52776,             0.27898,            0.014206,           0.0067235,           0.0033684,            0.014182,           0.0071824,           0.0071824
                  47,            0.084339,            0.022503,           0.0050461,             0.34891,             0.33333,             0.40703,              0.2636,            0.015292,           0.0066075,           0.0034346,             0.01229,           0.0072898,           0.0072898
                  48,            0.059321,            0.028246,           0.0069463,             0.34891,             0.33333,             0.40703,              0.2636,            0.015292,           0.0066075,           0.0034346,            0.010395,           0.0073953,           0.0073953
                  49,            0.085247,            0.020965,           0.0052934,             0.69822,                 0.5,             0.67178,             0.38993,            0.016961,           0.0060721,           0.0028917,           0.0084988,           0.0074988,           0.0074988
                  50,            0.073617,            0.027943,           0.0069375,             0.69822,                 0.5,             0.67178,             0.38993,            0.016961,           0.0060721,           0.0028917,            0.007525,            0.007525,            0.007525
                  51,            0.049456,            0.022992,           0.0042997,             0.45019,             0.66667,             0.60312,             0.39578,            0.017079,           0.0057102,             0.00216,            0.007525,            0.007525,            0.007525
                  52,            0.056975,            0.019766,           0.0050801,             0.45019,             0.66667,             0.60312,             0.39578,            0.017079,           0.0057102,             0.00216,           0.0074755,           0.0074755,           0.0074755
                  53,            0.070961,             0.02817,           0.0044289,             0.49868,             0.83333,             0.75438,             0.47783,            0.015637,           0.0055446,           0.0020622,            0.007426,            0.007426,            0.007426
                  54,            0.053012,            0.027114,            0.004004,             0.49868,             0.83333,             0.75438,             0.47783,            0.015637,           0.0055446,           0.0020622,           0.0073765,           0.0073765,           0.0073765
                  55,            0.062605,            0.018806,           0.0050926,             0.46492,             0.78605,             0.59917,             0.34957,            0.014169,           0.0055758,           0.0020538,            0.007327,            0.007327,            0.007327
                  56,            0.053973,            0.034686,           0.0039439,             0.46492,             0.78605,             0.59917,             0.34957,            0.014169,           0.0055758,           0.0020538,           0.0072775,           0.0072775,           0.0072775
                  57,            0.077071,            0.020876,           0.0049464,             0.44535,             0.78503,              0.6925,               0.333,            0.018739,           0.0054109,           0.0020004,            0.007228,            0.007228,            0.007228
                  58,            0.060373,            0.030331,            0.002753,             0.44535,             0.78503,              0.6925,               0.333,            0.018739,           0.0054109,           0.0020004,           0.0071785,           0.0071785,           0.0071785
                  59,            0.045407,            0.033486,            0.003548,             0.44292,             0.80349,             0.70429,             0.42236,            0.013378,            0.005716,           0.0019393,            0.007129,            0.007129,            0.007129
                  60,            0.042275,            0.020869,           0.0042041,             0.44292,             0.80349,             0.70429,             0.42236,            0.013378,            0.005716,           0.0019393,           0.0070795,           0.0070795,           0.0070795
                  61,            0.046015,            0.025947,           0.0030345,             0.59679,             0.83333,             0.77087,             0.45864,            0.012582,           0.0061465,           0.0018211,             0.00703,             0.00703,             0.00703
                  62,            0.044962,             0.01937,           0.0023233,             0.59679,             0.83333,             0.77087,             0.45864,            0.012582,           0.0061465,           0.0018211,           0.0069805,           0.0069805,           0.0069805
                  63,            0.047588,            0.020457,           0.0033598,             0.63086,             0.83333,             0.69168,             0.52894,            0.011363,           0.0067615,           0.0020152,            0.006931,            0.006931,            0.006931
                  64,            0.046376,            0.023091,           0.0039796,             0.63086,             0.83333,             0.69168,             0.52894,            0.011363,           0.0067615,           0.0020152,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036693,            0.019803,           0.0022947,              0.6038,             0.83333,             0.69168,             0.23289,            0.015479,           0.0063438,           0.0026822,            0.006832,            0.006832,            0.006832
                  66,            0.052226,             0.01816,           0.0031947,              0.6038,             0.83333,             0.69168,             0.23289,            0.015479,           0.0063438,           0.0026822,           0.0067825,           0.0067825,           0.0067825
                  67,            0.046792,            0.021634,           0.0056024,              0.5185,             0.83333,             0.71165,             0.34082,            0.014325,           0.0061565,           0.0028525,            0.006733,            0.006733,            0.006733
                  68,            0.051127,            0.024104,           0.0022316,              0.5185,             0.83333,             0.71165,             0.34082,            0.014325,           0.0061565,           0.0028525,           0.0066835,           0.0066835,           0.0066835
                  69,            0.048571,            0.024943,           0.0030266,             0.59954,             0.66667,             0.76675,             0.40775,            0.011829,            0.005976,           0.0028544,            0.006634,            0.006634,            0.006634
                  70,            0.050593,            0.023149,           0.0035869,             0.59954,             0.66667,             0.76675,             0.40775,            0.011829,            0.005976,           0.0028544,           0.0065845,           0.0065845,           0.0065845
                  71,            0.043626,            0.016074,           0.0024026,             0.57205,             0.83333,             0.77875,             0.37542,            0.011954,           0.0060796,           0.0024009,            0.006535,            0.006535,            0.006535
                  72,            0.051667,            0.020056,           0.0028567,             0.57205,             0.83333,             0.77875,             0.37542,            0.011954,           0.0060796,           0.0024009,           0.0064855,           0.0064855,           0.0064855
                  73,            0.039962,            0.016246,           0.0040722,             0.61123,             0.76832,             0.67757,             0.39469,            0.013321,           0.0058017,           0.0021824,            0.006436,            0.006436,            0.006436
                  74,            0.073946,            0.017673,           0.0022472,             0.61123,             0.76832,             0.67757,             0.39469,            0.013321,           0.0058017,           0.0021824,           0.0063865,           0.0063865,           0.0063865
